Mode,Load,Time
Train,240.4422174,1
Train,180.58166305,1.25
Train,120.7211087,1.5
Train,60.86055435,1.75
Train,1,2
Train,278.612044,2.25
Train,556.224088,2.5
Train,833.836132,2.75
Train,1111.448176,3
Train,3181.9429395,3.25
Train,5252.437703,3.5
Train,7322.9324665,3.75
Train,9393.42723,4
Train,15782.592995,4.25
Train,22171.75876,4.5
Train,28560.924525,4.75
Train,34950.09029,5
Train,52325.7493675,5.25
Train,69701.408445,5.5
Train,87077.0675225,5.75
Train,104452.7266,6
Train,101828.096775,6.25
Train,99203.46695,6.5
Train,96578.837125,6.75
Train,93954.2073,7
Train,80014.8790225,7.25
Train,66075.550745,7.5
Train,52136.2224675,7.75
Train,38196.89419,8
Train,35337.66703,8.25
Train,32478.43987,8.5
Train,29619.21271,8.75
Train,26759.98555,9
Train,26717.2264325,9.25
Train,26674.467315,9.5
Train,26631.7081975,9.75
Train,26588.94908,10
Train,27110.0036125,10.25
Train,27631.058145,10.5
Train,28152.1126775,10.75
Train,28673.16721,11
Train,28911.8093175,11.25
Train,29150.451425,11.5
Train,29389.0935325,11.75
Train,29627.73564,12
Train,30806.3560825,12.25
Train,31984.976525,12.5
Train,33163.5969675,12.75
Train,34342.21741,13
Train,40214.9512475,13.25
Train,46087.685085,13.5
Train,51960.4189225,13.75
Train,57833.15276,14
Train,62532.61105,14.25
Train,67232.06934,14.5
Train,71931.52763,14.75
Train,76630.98592,15
Train,84804.622615,15.25
Train,92978.25931,15.5
Train,101151.896005,15.75
Train,109325.5327,16
Train,95621.3795725,16.25
Train,81917.226445,16.5
Train,68213.0733175,16.75
Train,54508.92019,17
Train,47095.4135075,17.25
Train,39681.906825,17.5
Train,32268.4001425,17.75
Train,24854.89346,18
Train,22793.499455,18.25
Train,20732.10545,18.5
Train,18670.711445,18.75
Train,16609.31744,19
Train,16003.394725,19.25
Train,15397.47201,19.5
Train,14791.549295,19.75
Train,14185.62658,20
Train,13579.703865,20.25
Train,12973.78115,20.5
Train,12367.858435,20.75
Train,11761.93572,21
Train,10545.90104975,21.25
Train,9329.8663795,21.5
Train,8113.83170925,21.75
Train,6897.797039,22
Tram,123.943662,1
Tram,113.698356833333,1.25
Tram,103.453051666667,1.5
Tram,93.2077465,1.75
Tram,82.9624413333334,2
Tram,72.7171361666667,2.25
Tram,62.471831,2.5
Tram,52.2265258333333,2.75
Tram,41.9812206666667,3
Tram,31.7359155,3.25
Tram,21.4906103333333,3.5
Tram,11.2453051666667,3.75
Tram,1,4
Tram,565.21370525,4.25
Tram,1129.4274105,4.5
Tram,1693.64111575,4.75
Tram,2257.854821,5
Tram,9306.6088845,5.25
Tram,16355.362948,5.5
Tram,23404.1170115,5.75
Tram,30452.871075,6
Tram,40929.14409625,6.25
Tram,51405.4171175,6.5
Tram,61881.69013875,6.75
Tram,72357.96316,7
Tram,65507.8367625,7.25
Tram,58657.710365,7.5
Tram,51807.5839675,7.75
Tram,44957.45757,8
Tram,42473.817265,8.25
Tram,39990.17696,8.5
Tram,37506.536655,8.75
Tram,35022.89635,9
Tram,35168.075115,9.25
Tram,35313.25388,9.5
Tram,35458.432645,9.75
Tram,35603.61141,10
Tram,36359.4077275,10.25
Tram,37115.204045,10.5
Tram,37871.0003625,10.75
Tram,38626.79668,11
Tram,38747.67064125,11.25
Tram,38868.5446025,11.5
Tram,38989.41856375,11.75
Tram,39110.292525,12
Tram,39231.16648625,12.25
Tram,39352.0404475,12.5
Tram,39472.91440875,12.75
Tram,39593.78837,13
Tram,42275.98411,13.25
Tram,44958.17985,13.5
Tram,47640.37559,13.75
Tram,50322.57133,14
Tram,52168.833518125,14.25
Tram,54015.09570625,14.5
Tram,55861.357894375,14.75
Tram,57707.6200825,15
Tram,59553.882270625,15.25
Tram,61400.14445875,15.5
Tram,63246.406646875,15.75
Tram,65092.668835,16
Tram,60274.286746875,16.25
Tram,55455.90465875,16.5
Tram,50637.522570625,16.75
Tram,45819.1404825,17
Tram,41000.758394375,17.25
Tram,36182.37630625,17.5
Tram,31363.994218125,17.75
Tram,26545.61213,18
Tram,24343.2286,18.25
Tram,22140.84507,18.5
Tram,19938.46154,18.75
Tram,17736.07801,19
Tram,16965.76381625,19.25
Tram,16195.4496225,19.5
Tram,15425.13542875,19.75
Tram,14654.821235,20
Tram,13884.50704125,20.25
Tram,13114.1928475,20.5
Tram,12343.87865375,20.75
Tram,11573.56446,21
Tram,10451.2820485,21.25
Tram,9328.999637,21.5
Tram,8206.7172255,21.75
Tram,7084.434814,22
Bus,146.25659085,1
Bus,109.9424431375,1.25
Bus,73.628295425,1.5
Bus,37.3141477125,1.75
Bus,1,2
Bus,164.7969935,2.25
Bus,328.593987,2.5
Bus,492.3909805,2.75
Bus,656.187974,3
Bus,819.9849675,3.25
Bus,983.781961,3.5
Bus,1147.5789545,3.75
Bus,1311.375948,4
Bus,4039.7255335,4.25
Bus,6768.075119,4.5
Bus,9496.4247045,4.75
Bus,12224.77429,5
Bus,21150.01806,5.25
Bus,30075.26183,5.5
Bus,39000.5056,5.75
Bus,47925.74937,6
Bus,49338.9671375,6.25
Bus,50752.184905,6.5
Bus,52165.4026725,6.75
Bus,53578.62044,7
Bus,47197.97761,7.25
Bus,40817.33478,7.5
Bus,34436.69195,7.75
Bus,28056.04912,8
Bus,27168.50849,8.25
Bus,26280.96786,8.5
Bus,25393.42723,8.75
Bus,24505.8866,9
Bus,24439.43661875,9.25
Bus,24372.9866375,9.5
Bus,24306.53665625,9.75
Bus,24240.086675,10
Bus,24173.63669375,10.25
Bus,24107.1867125,10.5
Bus,24040.73673125,10.75
Bus,23974.28675,11
Bus,24472.15601625,11.25
Bus,24970.0252825,11.5
Bus,25467.89454875,11.75
Bus,25965.763815,12
Bus,26463.63308125,12.25
Bus,26961.5023475,12.5
Bus,27459.37161375,12.75
Bus,27957.24088,13
Bus,35144.8176225,13.25
Bus,42332.394365,13.5
Bus,49519.9711075,13.75
Bus,56707.54785,14
Bus,52768.508485,14.25
Bus,48829.46912,14.5
Bus,44890.429755,14.75
Bus,40951.39039,15
Bus,40204.2614625,15.25
Bus,39457.132535,15.5
Bus,38710.0036075,15.75
Bus,37962.87468,16
Bus,34704.6587175,16.25
Bus,31446.442755,16.5
Bus,28188.2267925,16.75
Bus,24930.01083,17
Bus,21671.7948675,17.25
Bus,18413.578905,17.5
Bus,15155.3629425,17.75
Bus,11897.14698,18
Bus,10634.16395475,18.25
Bus,9371.1809295,18.5
Bus,8108.19790425,18.75
Bus,6845.214879,19
Bus,6411.26760558333,19.25
Bus,5977.32033216667,19.5
Bus,5543.37305875,19.75
Bus,5109.42578533333,20
Bus,4675.47851191667,20.25
Bus,4241.5312385,20.5
Bus,3807.58396508333,20.75
Bus,3373.63669166667,21
Bus,2939.68941825,21.25
Bus,2505.74214483333,21.5
Bus,2071.79487141667,21.75
Bus,1637.847598,22
