MODE,public_transport,CBD,City,persons
 Tram ,TRUE,Non-CBD,Sydney,941
 Tram ,TRUE,Non-CBD,Melbourne,22159
 Tram ,TRUE,CBD,Sydney,497
 Tram ,TRUE,CBD,Melbourne,17641
 Ferry ,TRUE,Non-CBD,Sydney,1298
 Ferry ,TRUE,CBD,Sydney,6417
 Bus ,TRUE,Non-CBD,Sydney,61356
 Bus ,TRUE,Non-CBD,Melbourne,12299
 Bus ,TRUE,CBD,Sydney,55750
 Bus ,TRUE,CBD,Melbourne,3009
 Train ,TRUE,Non-CBD,Sydney,162666
 Train ,TRUE,Non-CBD,Melbourne,47522
 Train ,TRUE,CBD,Sydney,120490
 Train ,TRUE,CBD,Melbourne,49353
 Bike ,FALSE,Non-CBD,Sydney,21692
 Bike ,FALSE,Non-CBD,Melbourne,15631
 Bike ,FALSE,CBD,Sydney,5540
 Bike ,FALSE,CBD,Melbourne,5230
 Other ,FALSE,Non-CBD,Sydney,27173
 Other ,FALSE,CBD,Sydney,2984
 Walk ,FALSE,Non-CBD,Sydney,65601
 Walk ,FALSE,Non-CBD,Melbourne,38795
 Walk ,FALSE,CBD,Sydney,15661
 Walk ,FALSE,CBD,Melbourne,9062
 Car ,FALSE,Non-CBD,Sydney,1052336
 Car ,FALSE,Non-CBD,Melbourne,940946
 Car ,FALSE,CBD,Sydney,38384
 Car ,FALSE,CBD,Melbourne,34707
