term,estimate,std.error,statistic,p.value
"PM
vs
AM",1.05782536178199,0.0238198529777219,44.4093992843426,0
"Public
holiday",-2.93838640435835,0.0767188407906294,-38.3007143235831,1.11253692926775e-308
Fri,-0.599172297452835,0.0441343982929268,-13.5760839759508,5.90607820000713e-42
Sat,-2.81638127657339,0.0433504092271872,-64.9678129176021,0
Sun,-1.73050517332763,0.046212769955771,-37.4464715052539,2.33587375286874e-305
Thu,0.987627577904013,0.0434852440187872,22.7117864965256,5.54083271095896e-114
Tue,0.749125750048734,0.0435357175692574,17.2071529280989,2.75133739020492e-66
Wed,1.23916186572091,0.0439466637562504,28.1969496613875,1.99063445390968e-174
"School
holiday",-0.25348229894885,0.0327725296810687,-7.73459667031063,1.04425503948392e-14
