orig_Suburb,free_flow_mins,avg_morning_peak,avg_ratio,sd_peak_duration,P20,P80
Cremorne,7.66666666666667,16.8002777777778,1.19134057971014,3.36598904025006,12.2833333333333,19.5733333333333
Ashfield,10.4,21.9824444444444,1.11369658119658,4.03137739534563,16.8466666666667,25.9866666666667
Drummoyne,10.4166666666667,21.9297222222222,1.10525333333333,4.80117697009593,16.31,25.86
Balgowlah,16.0833333333333,33.5433333333333,1.08559585492228,6.12590375361003,26.0933333333333,38.9333333333333
Sydney Airport,12.3,23.9250750750751,0.945128054884152,4.45077275884516,19.6166666666667,27.5833333333333
Willoughby East,10.6,20.2394444444444,0.909381551362683,3.91045362079667,14.9266666666667,23.5433333333333
Liverpool,34.2,65.154954954955,0.905115641957747,10.74877784798,51.4333333333333,73.7666666666667
Ryde,18.4166666666667,34.8400900900901,0.891769597651951,5.87468046772508,28.15,40.4833333333333
Hunters Hill,14.2833333333333,26.7833333333333,0.875145857642941,5.06409254786416,22.2333333333333,31.55
Randwick,14.9,26.7391666666667,0.794574944071588,3.67092437057252,22.3466666666667,29.8866666666667
Roseville,16.8,30.0952777777778,0.791385582010582,5.17948209394109,23.51,35.16
Manly,24.1833333333333,43.1238532110092,0.783205508380807,6.02034973578915,36.7733333333333,47.77
Auburn,29.1333333333333,51.9304487179487,0.782509681394121,6.19089591621898,45.2866666666667,57.54
Bondi Beach,17.35,29.0243271221532,0.782064772428141,3.21964671640126,25.7333333333333,32.0833333333333
Mosman,12.85,22.0977225672878,0.776002991978316,4.19011423243846,18.2333333333333,25.7166666666667
Hurstville,25.1833333333333,44.4021021021021,0.763154285986847,8.39373717862454,33.9666666666667,51.95
Riverview,13.3666666666667,23.5186111111111,0.759497090606816,3.39476456845007,19.1,26.3233333333333
Coogee,18.85,27.8083850931677,0.759325072587074,4.78810886910929,24.2666666666667,32.0833333333333
Wareemba,14.4666666666667,25.3686111111111,0.753590629800307,4.77782275906212,20.91,29.3033333333333
Denistone,22.05,38.5576923076923,0.748648177219606,5.49792248841838,32.2266666666667,43.19
Campbelltown,44.0666666666667,76.8518018018018,0.743989450872961,11.6612156857444,59.5166666666667,84.8
Artarmon,12.2833333333333,21.316966966967,0.735438287677094,4.91295082079861,16.15,25.9666666666667
Vaucluse,16.4,28.4425,0.734298780487805,4.54898058259939,23.91,32.3333333333333
Killara,19.2666666666667,33.4052777777778,0.733837946943483,5.50641595616971,26.1766666666667,38.81
Zetland,11.9333333333333,20.4427777777778,0.713081936685289,1.75985085041138,18.5066666666667,21.5566666666667
Hornsby,28.75,49.0292792792793,0.705366235801018,8.94023145481919,38.0666666666667,57.5166666666667
Macquarie Park,17.4166666666667,29.6597597597598,0.702952713479029,7.45984857418974,21.8833333333333,36.4166666666667
Bellevue Hill,12.0833333333333,20.4219444444444,0.690091954022988,2.46483267380478,18.4766666666667,22.3733333333333
Marrickville,17.2,28.8561561561562,0.677683497450939,2.76841121333169,25.8833333333333,31.1
Bronte,15.7333333333333,26.2369444444444,0.667602401129944,2.66311219970139,23.21,28.4666666666667
Leichhardt,9.65,14.2228,0.649024821999377,3.77419110942543,10.6866666666667,17.7533333333333
Maroubra,19.1333333333333,31.5419444444444,0.648533681765389,4.30344373517249,25.41,34.6866666666667
Cronulla,32.4,52.8064564564565,0.629828902977051,8.48742777038074,42.5166666666667,59.9333333333333
Paddington,11.2,18.1788888888889,0.623115079365079,1.51746848695912,16.53,19.4566666666667
Castle Hill,29.3166666666667,47.0057057057057,0.60337825033675,10.1073971550532,35.9,54.9333333333333
Carlingford,24.8833333333333,38.3833333333333,0.542531815137307,7.54434248691498,30.7633333333333,44.33
Penrith,50.4333333333333,76.4731231231231,0.51632101367726,9.87800617103502,65.3333333333333,84.8166666666667
Blacktown,35.8333333333333,53.8557057057057,0.502949926670857,8.95699841935459,43.2,60.2333333333333
Mona Vale,36.9333333333333,55.1803303303303,0.494052265261652,7.10952206771342,48.15,60.9333333333333
Windsor,47.15,68.3151651651652,0.448890035316334,9.77933053975607,56.5666666666667,75.65
Gosford,60.1,83.9713213213213,0.397193366411336,10.3414831427496,72.2833333333333,93.1666666666667
