Time	build_status	error_message
2017-01-26 01:26:58	Fixed	NA
2017-01-26 01:27:12	OK	NA
2017-01-26 10:41:23	Broken	Each field line in .bib must end with a comma (to allow reordering).
2017-01-26 10:41:37	Still failing	Each field line in .bib must end with a comma (to allow reordering).
2017-08-18 21:21:03	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:21:48	Still failing	Footnote does not end with full stop.
2017-08-18 21:25:13	Still failing	Footnote does not end with full stop.
2017-08-18 21:27:33	Still failing	Footnote does not end with full stop.
2017-08-18 21:40:30	Still failing	\label used without prefix.
2017-08-18 21:40:50	Still failing	Ellipsis typed without using macro.
2017-08-18 21:42:15	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-18 21:42:28	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-18 21:42:43	Still failing	Em-dashes not permitted.
2017-08-18 21:43:19	Still failing	Em-dashes not permitted.
2017-08-18 21:43:34	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:43:45	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:43:56	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:44:17	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:44:30	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:44:57	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:45:17	Still failing	Footnote does not end with full stop.
2017-08-18 21:45:38	Still failing	Footnote does not end with full stop.
2017-08-18 21:48:20	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-18 21:49:04	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-18 21:50:07	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:50:20	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 21:50:32	Still failing	Footnote does not end with full stop.
2017-08-18 22:03:07	Still failing	Footnote does not end with full stop.
2017-08-18 22:07:49	Still failing	Footnote does not end with full stop.
2017-08-18 22:08:22	Still failing	Footnote does not end with full stop.
2017-08-18 22:08:43	Still failing	Footnote does not end with full stop.
2017-08-18 22:11:21	Still failing	Footnote does not end with full stop.
2017-08-18 22:17:34	Still failing	Punctuation mark after footcite number 
2017-08-18 22:18:09	Still failing	Punctuation mark after footcite number 
2017-08-18 22:18:32	Still failing	Cross-reference to chapter using Vref or Cref.
2017-08-18 22:18:53	Still failing	Cross-reference to chapter using Vref or Cref.
2017-08-18 22:19:01	Still failing	Hard-coded xref in document.
2017-08-18 22:19:38	Still failing	Ellipsis typed without using macro.
2017-08-18 22:20:03	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-18 22:20:13	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-18 22:20:31	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-18 22:21:15	Still failing	Space somewhere after \label . Spaces are not permitted in \label.
2017-08-18 22:21:28	Still failing	Space somewhere after \label . Spaces are not permitted in \label.
2017-08-18 22:21:44	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 22:21:57	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 22:22:12	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 22:22:31	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-18 22:22:50	Still failing	Punctuation after footnotemark.
2017-08-18 22:23:11	Still failing	Footnote does not end with full stop.
2017-08-18 22:23:30	Still failing	Footnote does not end with full stop.
2017-08-18 22:23:45	Still failing	Footnote does not end with full stop.
2017-08-18 22:23:59	Still failing	Footnote does not end with full stop.
2017-08-18 22:24:15	Still failing	Footnote does not end with full stop.
2017-08-18 22:24:31	Still failing	Footnote does not end with full stop.
2017-08-18 22:24:57	Still failing	Footnote does not end with full stop.
2017-08-18 22:25:27	Still failing	Footnote does not end with full stop.
2017-08-18 22:25:49	Still failing	Footnote does not end with full stop.
2017-08-18 22:26:33	Still failing	Punctuation after footnotemark.
2017-08-18 22:26:51	Still failing	Footnote does not end with full stop.
2017-08-20 00:43:45	Still failing	Ellipsis typed without using macro.
2017-08-20 00:44:07	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-20 01:07:22	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-20 01:07:46	Still failing	Closing quote used at beginning of word. Use a backtick for an opening quote, e.g. The word `ossifrage' is quoted.
2017-08-20 01:07:57	Still failing	Punctuation after footnotemark.
2017-08-20 01:08:19	Still failing	Punctuation after footnotemark.
2017-08-20 01:08:30	Still failing	Footnote does not end with full stop.
2017-08-20 01:08:53	Still failing	Space inserted before \footnote
2017-08-20 01:09:03	Still failing	Hard-coded xref in document.
2017-08-20 01:09:50	Still failing	Cross-reference to chapter using Vref or Cref.
2017-08-20 01:09:58	Still failing	Footnote does not end with full stop.
2017-08-20 01:10:20	Still failing	Footnote does not end with full stop.
2017-08-20 01:10:32	Still failing	Footnote does not end with full stop.
2017-08-20 01:10:48	Still failing	Footnote does not end with full stop.
2017-08-20 01:10:57	Still failing	Footnote does not end with full stop.
2017-08-20 01:13:27	Still failing	Footnote does not end with full stop.
2017-08-20 01:15:58	Still failing	Footnote does not end with full stop.
2017-08-20 01:19:55	Still failing	Space inserted before \footnote
2017-08-20 01:20:06	Still failing	Space inserted before \footnote
2017-08-20 01:20:14	Still failing	Space inserted before \footnote
2017-08-20 01:23:43	Still failing	\label used without prefix.
2017-08-20 01:24:30	Still failing	Hard-coded xref in document.
2017-08-20 01:25:29	Still failing	Dash likely masquerading as hyphen. Use -- for a dash.
2017-08-20 01:28:12	Still failing	Capital letter ends sentence, but sentence-ending period mark absent.
2017-08-20 01:28:24	Still failing	bib/Transport.bib contains line which is neither a key, nor field, nor closing.
2017-08-20 01:28:38	Still failing	Use the macros \etc, \ie, and \eg provided for consistent formatting.
2017-08-20 01:29:22	Still failing	Spellcheck failed: 'freeways'
2017-08-20 01:29:44	Still failing	Spellcheck failed: 'VicRoads'
2017-08-20 01:30:39	Still failing	Spellcheck failed: 'Anzac'
2017-08-20 01:30:51	Still failing	Spellcheck failed: 'Hoddle'
2017-08-20 01:30:59	Still failing	Spellcheck failed: 'Bertauld'
2017-08-20 01:31:16	Still failing	Spellcheck failed: 'Bertauld'
2017-08-20 01:31:32	Still failing	Spellcheck failed: 'Bertauld'
2017-08-20 01:31:52	Still failing	Spellcheck failed: 'Frischmann'
2017-08-20 01:34:08	Still failing	Spellcheck failed: 'Frischmann'
2017-08-20 01:34:45	Still failing	Spellcheck failed: 'xx'
2017-08-20 01:35:01	Still failing	Spellcheck failed: 'Marchetti'
2017-08-20 01:35:25	Still failing	Spellcheck failed: 'Zahavi'
2017-08-20 01:35:35	Still failing	Spellcheck failed: 'automobile'
2017-08-20 01:35:55	Still failing	Spellcheck failed: 'densification'
2017-08-20 01:36:05	Still failing	Use the macros \etc, \ie, and \eg provided for consistent formatting.
2017-08-20 01:36:26	Still failing	Use the macros \etc, \ie, and \eg provided for consistent formatting.
2017-08-20 01:36:41	Still failing	Use the macros \etc, \ie, and \eg provided for consistent formatting.
2017-08-20 01:36:57	Still failing	Use the macros \etc, \ie, and \eg provided for consistent formatting.
2017-08-20 01:37:15	Still failing	Use the macros \etc, \ie, and \eg provided for consistent formatting.
2017-08-20 01:37:28	Still failing	Spellcheck failed: 'Falcocchio'
2017-08-20 01:37:50	Still failing	Spellcheck failed: 'Falcocchio'
2017-08-20 01:38:07	Still failing	Spellcheck failed: 'Chavis'
2017-08-20 01:38:45	Still failing	Spellcheck failed: 'VicRoads'
2017-08-20 01:38:57	Still failing	Spellcheck failed: 'arterials'
2017-08-20 01:39:08	Still failing	Spellcheck failed: 'whcih'
2017-08-20 01:39:28	Still failing	Spellcheck failed: 'hr'
2017-08-20 01:40:53	Still failing	Spellcheck failed: 'Epworth'
2017-08-20 01:41:15	Still failing	Spellcheck failed: 'Yarra'
2017-08-20 01:41:21	Still failing	Spellcheck failed: 'Cortright'
2017-08-20 01:41:35	Still failing	Spellcheck failed: 'BTRE'
2017-08-20 01:46:06	Still failing	Spellcheck failed: 'BTRE'
2017-08-20 01:47:29	Still failing	Spellcheck failed: 'DWLs'
2017-08-20 01:48:04	Still failing	Spellcheck failed: 'BTRE'
2017-08-20 01:48:40	Still failing	Spellcheck failed: 'nonfrench'
2017-08-20 01:49:04	Still failing	Spellcheck failed: 'phv'
2017-08-20 01:49:55	Still failing	Spellcheck failed: 'Measurability'
2017-08-20 01:50:13	Still failing	Spellcheck failed: 'Measurability'
2017-08-20 01:50:22	Still failing	Spellcheck failed: 've'
2017-08-20 01:50:56	Still failing	Spellcheck failed: 'dstribution'
2017-08-20 01:51:06	Still failing	Use the macros \etc, \ie, and \eg provided for consistent formatting.
2017-08-20 01:51:26	Still failing	Should be upper case G in government.
2017-08-20 02:06:49	Still failing	Spellcheck failed: 'polycentric'
2017-08-20 02:07:06	Still failing	Spellcheck failed: 'dealy'
2017-08-20 02:07:26	Still failing	Spellcheck failed: 'xx'
